campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,net_profit,start_year,start_month,start_quarter,end_year,end_month,end_quarter,performance_category,categoria_rendimiento,cost_per_conversion,low_budget_flag,high_roi_flag,high_conversion_flag,paid_channel_flag,long_duration_flag,b2b_flag
organized hybrid intranet,2023-06-03,2023-11-16,91247.27,0.7,social media,b2b,referral,0.0,579220.33,487973.05999999994,2023,6,2,2023,11,4,Rendimiento medio,Rendimiento medio,inf,0,1,0,0,0,0
streamlined intermediate core,2022-08-20,2024-02-18,59201.77,0.12,social media,b2b,promotion,0.65,784578.57,725376.7999999999,2022,8,3,2024,2,1,Rendimiento medio,Rendimiento medio,91079.64615384614,0,0,1,0,1,0
re-contextualized regional pricing structure,2023-03-18,2024-06-29,93497.4,0.44,email,b2b,promotion,0.37,58328.0,-35169.399999999994,2023,3,1,2024,6,2,Rendimiento medio,Rendimiento medio,252695.67567567565,0,0,0,0,1,0
stand-alone client-driven challenge,2022-12-20,2023-10-06,18364.99,0.24,webinar,b2b,paid,0.85,433475.14,415110.15,2022,12,4,2023,10,4,Rendimiento medio,Rendimiento medio,21605.870588235295,0,0,1,1,1,0
reactive client-driven paradigm,2023-04-09,2023-10-02,63250.91,0.72,email,b2c,paid,0.76,32045.66,-31205.250000000004,2023,4,2,2023,10,4,Alto rendimiento,Alto rendimiento,83224.88157894737,0,1,1,1,0,0
object-based composite info-mediaries,2023-05-04,2023-12-19,52277.41,0.79,webinar,b2c,promotion,0.84,838402.57,786125.1599999999,2023,5,2,2023,12,4,Alto rendimiento,Alto rendimiento,62235.01190476191,0,1,1,0,1,0
user-centric discrete algorithm,2022-09-17,2024-07-25,41022.86,0.64,email,b2b,promotion,0.53,553643.5,512620.64,2022,9,3,2024,7,3,Alto rendimiento,Alto rendimiento,77401.62264150943,0,1,1,0,1,0
cloned discrete customer loyalty,2023-03-21,2023-10-11,69490.13,0.56,email,b2c,paid,0.5,690561.8,621071.67,2023,3,1,2023,10,4,Rendimiento medio,Rendimiento medio,138980.26,0,0,0,1,1,0
function-based motivating algorithm,2022-11-18,2024-05-08,16205.28,0.11,email,b2b,referral,0.86,632469.27,616263.99,2022,11,4,2024,5,2,Rendimiento medio,Rendimiento medio,18843.3488372093,0,0,1,0,1,0
devolved local graphic interface,2023-01-04,2024-06-06,71575.57,0.58,email,b2c,promotion,0.81,295020.93,223445.36,2023,1,1,2024,6,2,Rendimiento medio,Rendimiento medio,88364.90123456791,0,0,1,0,1,0
synergized 24hour strategy,2022-09-13,2023-09-24,78034.3,0.9,podcast,b2b,paid,0.36,718941.54,640907.24,2022,9,3,2023,9,3,Rendimiento medio,Rendimiento medio,216761.94444444447,0,1,0,1,1,0
function-based exuding strategy,2023-04-30,2024-02-25,87156.45,0.4,social media,b2c,referral,0.99,95274.7,8118.25,2023,4,2,2024,2,1,Rendimiento medio,Rendimiento medio,88036.81818181818,0,0,1,0,1,0
synergistic intermediate middleware,2023-07-22,2023-10-27,28984.24,0.1,webinar,b2c,paid,0.93,224410.83,195426.59,2023,7,3,2023,10,4,Rendimiento medio,Rendimiento medio,31165.84946236559,0,0,1,1,0,0
grass-roots 24/7 orchestration,2023-01-21,2024-06-25,39758.97,0.5,social media,b2c,promotion,0.56,81674.81,41915.84,2023,1,1,2024,6,2,Rendimiento medio,Rendimiento medio,70998.16071428571,0,0,1,0,1,0
adaptive needs-based initiative,2023-06-04,2024-07-06,46618.3,0.72,email,b2c,organic,0.23,854112.83,807494.5299999999,2023,6,2,2024,7,3,Rendimiento medio,Rendimiento medio,202688.26086956522,0,1,0,0,1,0
automated 5thgeneration attitude,2023-02-05,2024-06-03,96380.65,0.99,email,b2b,referral,0.18,35031.43,-61349.219999999994,2023,2,1,2024,6,2,Rendimiento medio,Rendimiento medio,535448.0555555555,0,1,0,0,1,0
mandatory secondary access,2022-08-03,2023-11-04,44406.38,0.17,email,b2b,promotion,0.21,438753.14,394346.76,2022,8,3,2023,11,4,Rendimiento medio,Rendimiento medio,211458.95238095237,0,0,0,0,1,0
digitized analyzing paradigm,2022-09-28,2023-11-04,31010.8,0.5,email,b2b,referral,0.32,759445.2,728434.3999999999,2022,9,3,2023,11,4,Rendimiento medio,Rendimiento medio,96908.75,0,0,0,0,1,0
object-based intangible artificial intelligence,2023-03-27,2023-10-06,19288.56,0.5,webinar,b2b,promotion,0.44,138967.65,119679.09,2023,3,1,2023,10,4,Rendimiento medio,Rendimiento medio,43837.63636363637,0,0,0,0,1,0
proactive mission-critical structure,2022-11-18,2024-06-28,54317.78,0.9,social media,b2c,paid,0.35,190911.53,136593.75,2022,11,4,2024,6,2,Rendimiento medio,Rendimiento medio,155193.65714285715,0,1,0,1,1,0
object-based grid-enabled model,2023-03-27,2023-08-30,41357.61,0.56,social media,b2b,paid,0.65,869961.43,828603.8200000001,2023,3,1,2023,8,3,Rendimiento medio,Rendimiento medio,63627.092307692306,0,0,1,1,0,0
seamless executive standardization,2022-11-26,2024-06-12,16261.19,0.49,webinar,b2c,referral,0.52,546988.28,530727.0900000001,2022,11,4,2024,6,2,Rendimiento medio,Rendimiento medio,31271.51923076923,0,0,1,0,1,0
de-engineered homogeneous array,2022-10-11,2024-06-07,27126.77,0.3,webinar,b2c,promotion,0.79,725838.96,698712.19,2022,10,4,2024,6,2,Rendimiento medio,Rendimiento medio,34337.6835443038,0,0,1,0,1,0
inverse heuristic projection,2023-03-27,2023-12-10,97754.27,0.87,social media,b2c,organic,0.56,368164.25,270409.98,2023,3,1,2023,12,4,Alto rendimiento,Alto rendimiento,174561.19642857142,0,1,1,0,1,0
diverse asymmetric orchestration,2023-02-22,2023-08-02,86507.56,0.39,email,b2c,paid,0.4,468536.15,382028.59,2023,2,1,2023,8,3,Rendimiento medio,Rendimiento medio,216268.9,0,0,0,1,0,0
reactive zero tolerance core,2023-05-14,2024-07-29,75067.13,0.95,podcast,b2c,promotion,0.44,967358.1,892290.97,2023,5,2,2024,7,3,Rendimiento medio,Rendimiento medio,170607.11363636365,0,1,0,0,1,0
reverse-engineered 24/7 help-desk,2023-01-19,2023-09-19,46839.92,0.65,social media,b2b,paid,0.28,168009.32,121169.40000000001,2023,1,1,2023,9,3,Rendimiento medio,Rendimiento medio,167285.42857142855,0,1,0,1,1,0
optimized 24hour budgetary management,2022-12-21,2024-02-25,73305.28,0.61,podcast,b2c,paid,0.48,776332.85,703027.57,2022,12,4,2024,2,1,Rendimiento medio,Rendimiento medio,152719.33333333334,0,1,0,1,1,0
inverse heuristic encryption,2023-07-07,2024-05-15,90612.4,0.15,email,b2b,organic,0.69,123571.95,32959.55,2023,7,3,2024,5,2,Rendimiento medio,Rendimiento medio,131322.3188405797,0,0,1,0,1,0
realigned empowering initiative,2023-03-06,2024-03-31,18541.27,0.58,email,b2b,paid,0.71,783948.9,765407.63,2023,3,1,2024,3,1,Rendimiento medio,Rendimiento medio,26114.464788732395,0,0,1,1,1,0
reduced mobile matrices,2022-08-31,2024-02-17,73723.4,0.74,webinar,b2c,promotion,0.21,62558.41,-11164.98999999999,2022,8,3,2024,2,1,Rendimiento medio,Rendimiento medio,351063.8095238095,0,1,0,0,1,0
virtual motivating portal,2022-10-31,2024-07-28,60705.69,0.24,webinar,b2b,referral,0.19,575160.34,514454.64999999997,2022,10,4,2024,7,3,Bajo rendimiento,Bajo rendimiento,319503.63157894736,0,0,0,0,1,0
customizable executive task-force,2022-08-31,2024-02-10,14777.5,0.0,email,b2c,promotion,0.38,865674.86,850897.36,2022,8,3,2024,2,1,Rendimiento medio,Rendimiento medio,38888.15789473684,0,0,0,0,1,0
optional 3rdgeneration open architecture,2023-07-16,2024-07-24,81086.35,0.27,podcast,b2c,organic,0.32,596689.85,515603.5,2023,7,3,2024,7,3,Rendimiento medio,Rendimiento medio,253394.84375,0,0,0,0,1,0
networked 6thgeneration neural-net,2022-11-08,2023-09-07,39534.14,0.94,social media,b2b,promotion,0.49,460143.5,420609.36,2022,11,4,2023,9,3,Rendimiento medio,Rendimiento medio,80681.91836734694,0,1,0,0,1,0
open-architected empowering database,2023-05-25,2023-12-26,63786.13,0.21,podcast,b2c,organic,0.43,91479.12,27692.989999999998,2023,5,2,2023,12,4,Rendimiento medio,Rendimiento medio,148339.83720930232,0,0,0,0,1,0
multi-channeled human-resource infrastructure,2023-05-30,2024-04-04,63889.54,0.77,webinar,b2c,paid,0.95,984610.31,920720.77,2023,5,2,2024,4,2,Alto rendimiento,Alto rendimiento,67252.14736842105,0,1,1,1,1,0
distributed intangible software,2022-11-13,2023-11-27,14378.29,0.25,social media,b2b,organic,0.59,689799.85,675421.5599999999,2022,11,4,2023,11,4,Rendimiento medio,Rendimiento medio,24369.98305084746,0,0,1,0,1,0
switchable clear-thinking challenge,2022-08-23,2023-08-16,57635.88,0.6,webinar,b2b,organic,0.16,192521.65,134885.77,2022,8,3,2023,8,3,Rendimiento medio,Rendimiento medio,360224.25,0,0,0,0,1,0
customizable 4thgeneration internet solution,2022-11-14,2023-08-27,78080.7,0.86,social media,b2b,promotion,0.6,373181.87,295101.17,2022,11,4,2023,8,3,Alto rendimiento,Alto rendimiento,130134.5,0,1,1,0,1,0
reduced zero tolerance policy,2023-01-28,2024-07-10,95263.32,0.4,podcast,b2b,promotion,0.33,352655.66,257392.33999999997,2023,1,1,2024,7,3,Rendimiento medio,Rendimiento medio,288676.7272727273,0,0,0,0,1,0
profound real-time archive,2023-02-23,2023-12-02,54198.81,0.73,webinar,b2c,referral,0.4,784870.79,730671.98,2023,2,1,2023,12,4,Rendimiento medio,Rendimiento medio,135497.025,0,1,0,0,1,0
inverse static support,2022-11-28,2024-03-22,65189.68,0.21,podcast,b2c,referral,0.5,816329.8,751140.12,2022,11,4,2024,3,1,Rendimiento medio,Rendimiento medio,130379.36,0,0,0,0,1,0
total attitude-oriented support,2023-01-08,2024-06-29,85772.21,0.98,podcast,b2b,organic,0.86,755740.83,669968.62,2023,1,1,2024,6,2,Alto rendimiento,Alto rendimiento,99735.12790697675,0,1,1,0,1,0
persistent tangible methodology,2023-02-17,2024-07-25,85190.24,0.64,webinar,b2c,promotion,0.48,900744.98,815554.74,2023,2,1,2024,7,3,Rendimiento medio,Rendimiento medio,177479.6666666667,0,1,0,0,1,0
robust bi-directional hub,2022-11-01,2023-08-20,87931.71,0.56,email,b2c,referral,0.77,288613.62,200681.90999999997,2022,11,4,2023,8,3,Rendimiento medio,Rendimiento medio,114197.02597402598,0,0,1,0,1,0
virtual content-based standardization,2022-08-23,2024-04-24,34658.91,0.27,social media,b2b,organic,0.59,596524.13,561865.22,2022,8,3,2024,4,2,Rendimiento medio,Rendimiento medio,58743.9152542373,0,0,1,0,1,0
programmable modular architecture,2023-01-12,2024-01-28,57845.8,0.9,podcast,b2c,paid,0.7,267847.44,210001.64,2023,1,1,2024,1,1,Alto rendimiento,Alto rendimiento,82636.85714285716,0,1,1,1,1,0
open-source zero administration extranet,2023-06-13,2024-01-13,65653.98,0.47,social media,b2c,paid,0.96,320630.54,254976.56,2023,6,2,2024,1,1,Rendimiento medio,Rendimiento medio,68389.5625,0,0,1,1,1,0
total asymmetric emulation,2023-03-30,2024-03-15,69996.24,0.77,social media,b2c,paid,0.86,936284.24,866288.0,2023,3,1,2024,3,1,Alto rendimiento,Alto rendimiento,81390.97674418606,0,1,1,1,1,0
streamlined attitude-oriented adapter,2023-07-03,2024-07-18,2554.18,0.46,social media,b2b,referral,0.33,575092.19,572538.0099999999,2023,7,3,2024,7,3,Rendimiento medio,Rendimiento medio,7739.939393939393,1,0,0,0,1,0
operative demand-driven open system,2022-10-04,2023-10-08,11294.95,0.49,email,b2c,paid,0.95,390218.59,378923.64,2022,10,4,2023,10,4,Rendimiento medio,Rendimiento medio,11889.42105263158,0,0,1,1,1,0
organic impactful approach,2023-07-08,2023-11-26,15971.25,0.94,email,b2b,organic,0.85,296134.8,280163.55,2023,7,3,2023,11,4,Alto rendimiento,Alto rendimiento,18789.70588235294,0,1,1,0,0,0
cloned leadingedge moderator,2022-11-11,2024-04-30,36838.48,0.3,email,b2b,referral,0.72,788871.83,752033.35,2022,11,4,2024,4,2,Rendimiento medio,Rendimiento medio,51164.55555555556,0,0,1,0,1,0
versatile well-modulated ability,2023-05-28,2024-03-21,24501.77,0.93,podcast,b2b,referral,0.87,788670.6,764168.83,2023,5,2,2024,3,1,Alto rendimiento,Alto rendimiento,28162.954022988506,0,1,1,0,1,0
self-enabling zero tolerance synergy,2023-06-01,2024-05-07,49505.24,0.48,webinar,b2b,promotion,0.87,703788.18,654282.9400000001,2023,6,2,2024,5,2,Rendimiento medio,Rendimiento medio,56902.574712643676,0,0,1,0,1,0
polarized systematic parallelism,2023-01-03,2024-04-25,5479.95,0.0,social media,b2b,organic,0.62,775127.75,769647.8,2023,1,1,2024,4,2,Rendimiento medio,Rendimiento medio,8838.629032258064,1,0,1,0,1,0
sharable object-oriented algorithm,2023-01-26,2023-11-28,13686.9,0.26,podcast,b2b,referral,0.68,298349.71,284662.81,2023,1,1,2023,11,4,Rendimiento medio,Rendimiento medio,20127.794117647056,0,0,1,0,1,0
progressive systematic architecture,2022-08-15,2024-01-11,7306.71,0.69,webinar,b2b,paid,0.97,541005.28,533698.5700000001,2022,8,3,2024,1,1,Alto rendimiento,Alto rendimiento,7532.690721649485,1,1,1,1,1,0
decentralized bi-directional forecast,2023-02-03,2023-11-18,96168.8,0.74,email,b2c,promotion,0.26,138002.71,41833.90999999999,2023,2,1,2023,11,4,Rendimiento medio,Rendimiento medio,369880.0,0,1,0,0,1,0
multi-lateral coherent hardware,2023-03-20,2023-12-20,80398.7,0.68,social media,b2b,paid,0.77,556040.51,475641.81,2023,3,1,2023,12,4,Alto rendimiento,Alto rendimiento,104413.8961038961,0,1,1,1,1,0
digitized fresh-thinking toolset,2023-07-23,2024-03-20,7171.11,0.23,podcast,b2c,referral,0.58,244491.62,237320.51,2023,7,3,2024,3,1,Rendimiento medio,Rendimiento medio,12363.98275862069,1,0,1,0,1,0
persistent fresh-thinking parallelism,2022-09-26,2024-07-24,40458.71,0.47,email,b2b,organic,0.6,748950.16,708491.4500000001,2022,9,3,2024,7,3,Rendimiento medio,Rendimiento medio,67431.18333333333,0,0,1,0,1,0
up-sized discrete superstructure,2023-04-08,2024-02-16,85035.31,0.35,webinar,b2c,referral,0.69,583929.45,498894.13999999996,2023,4,2,2024,2,1,Rendimiento medio,Rendimiento medio,123239.57971014493,0,0,1,0,1,0
implemented next generation productivity,2022-08-16,2023-12-12,28881.52,0.83,email,b2b,referral,0.74,887826.15,858944.63,2022,8,3,2023,12,4,Alto rendimiento,Alto rendimiento,39029.08108108108,0,1,1,0,1,0
persistent radical approach,2022-10-23,2023-08-15,99891.35,0.8,email,b2c,promotion,0.91,8272.5,-91618.85,2022,10,4,2023,8,3,Alto rendimiento,Alto rendimiento,109770.71428571429,0,1,1,0,1,0
robust dynamic circuit,2022-10-04,2024-04-29,35936.7,0.37,webinar,b2b,referral,0.13,575711.5,539774.8,2022,10,4,2024,4,2,Rendimiento medio,Rendimiento medio,276436.1538461538,0,0,0,0,1,0
assimilated cohesive contingency,2023-03-10,2024-07-22,52088.32,0.6,podcast,b2b,referral,0.46,85934.39,33846.07,2023,3,1,2024,7,3,Rendimiento medio,Rendimiento medio,113235.47826086955,0,0,0,0,1,0
distributed heuristic extranet,2022-08-27,2023-12-31,19258.46,0.61,podcast,b2c,promotion,0.22,828613.75,809355.29,2022,8,3,2023,12,4,Rendimiento medio,Rendimiento medio,87538.45454545454,0,1,0,0,1,0
public-key optimizing open architecture,2023-04-01,2023-11-13,35095.84,0.7,social media,b2c,paid,0.26,153946.14,118850.30000000002,2023,4,2,2023,11,4,Rendimiento medio,Rendimiento medio,134983.99999999997,0,1,0,1,1,0
self-enabling secondary methodology,2022-09-22,2024-04-16,89591.74,0.22,podcast,b2c,promotion,0.16,707937.27,618345.53,2022,9,3,2024,4,2,Bajo rendimiento,Bajo rendimiento,559948.375,0,0,0,0,1,0
multi-channeled intermediate project,2023-07-10,2024-06-11,30866.33,0.4,webinar,b2c,paid,0.51,487045.64,456179.31,2023,7,3,2024,6,2,Rendimiento medio,Rendimiento medio,60522.21568627451,0,0,1,1,1,0
re-engineered 24/7 benchmark,2022-10-07,2023-08-02,60761.56,0.6,podcast,b2c,paid,0.46,560912.6,500151.04,2022,10,4,2023,8,3,Rendimiento medio,Rendimiento medio,132090.34782608695,0,0,0,1,1,0
automated 6thgeneration solution,2023-04-10,2023-08-27,82351.52,0.99,podcast,b2c,organic,0.27,470489.22,388137.69999999995,2023,4,2,2023,8,3,Rendimiento medio,Rendimiento medio,305005.6296296296,0,1,0,0,0,0
persevering asymmetric orchestration,2022-10-23,2024-03-12,68860.82,0.33,webinar,b2c,organic,0.82,360686.83,291826.01,2022,10,4,2024,3,1,Rendimiento medio,Rendimiento medio,83976.60975609758,0,0,1,0,1,0
enhanced web-enabled knowledge user,2023-04-24,2024-05-25,71941.12,0.99,webinar,b2c,referral,0.67,793615.75,721674.63,2023,4,2,2024,5,2,Alto rendimiento,Alto rendimiento,107374.80597014925,0,1,1,0,1,0
multi-tiered fresh-thinking monitoring,2023-01-31,2024-01-23,92487.68,0.5,social media,b2c,organic,0.48,539681.9,447194.22000000003,2023,1,1,2024,1,1,Rendimiento medio,Rendimiento medio,192682.66666666666,0,0,0,0,1,0
cloned background ability,2023-05-08,2023-08-05,6690.98,0.95,podcast,b2c,referral,0.6,419310.48,412619.5,2023,5,2,2023,8,3,Alto rendimiento,Alto rendimiento,11151.633333333333,1,1,1,0,0,0
up-sized bifurcated budgetary management,2023-06-21,2024-03-29,65932.3,0.46,email,b2b,paid,0.64,868615.57,802683.2699999999,2023,6,2,2024,3,1,Rendimiento medio,Rendimiento medio,103019.21875,0,0,1,1,1,0
virtual methodical projection,2022-08-28,2023-08-03,2939.44,0.23,podcast,b2b,referral,0.34,517886.3,514946.86,2022,8,3,2023,8,3,Rendimiento medio,Rendimiento medio,8645.411764705881,1,0,0,0,1,0
configurable 6thgeneration approach,2023-07-20,2023-08-05,89898.65,0.51,social media,b2c,paid,0.94,940644.5,850745.85,2023,7,3,2023,8,3,Rendimiento medio,Rendimiento medio,95636.86170212766,0,0,1,1,0,0
networked zero administration hardware,2023-06-18,2024-01-12,79330.1,0.6,webinar,b2c,promotion,0.6,993317.73,913987.63,2023,6,2,2024,1,1,Rendimiento medio,Rendimiento medio,132216.83333333334,0,0,1,0,1,0
integrated dedicated solution,2023-04-25,2023-09-26,49871.16,0.59,webinar,b2b,promotion,0.13,753551.91,703680.75,2023,4,2,2023,9,3,Rendimiento medio,Rendimiento medio,383624.3076923077,0,0,0,0,0,0
managed coherent local area network,2022-08-22,2024-07-09,86898.8,0.2,email,b2b,paid,0.63,627464.79,540565.99,2022,8,3,2024,7,3,Rendimiento medio,Rendimiento medio,137934.60317460317,0,0,1,1,1,0
assimilated bifurcated policy,2023-07-12,2024-06-07,88219.78,0.56,podcast,b2c,organic,0.9,385119.98,296900.19999999995,2023,7,3,2024,6,2,Rendimiento medio,Rendimiento medio,98021.97777777778,0,0,1,0,1,0
intuitive secondary initiative,2023-07-21,2023-10-02,40691.9,0.87,email,b2c,organic,0.5,924409.28,883717.38,2023,7,3,2023,10,4,Rendimiento medio,Rendimiento medio,81383.8,0,1,0,0,0,0
reverse-engineered bandwidth-monitored encoding,2023-04-13,2023-12-22,72683.1,0.37,social media,b2b,paid,0.71,778626.74,705943.64,2023,4,2,2023,12,4,Rendimiento medio,Rendimiento medio,102370.5633802817,0,0,1,1,1,0
adaptive 24/7 open architecture,2023-04-28,2024-04-26,11646.16,0.8,email,b2b,organic,0.81,13324.2,1678.0400000000009,2023,4,2,2024,4,2,Alto rendimiento,Alto rendimiento,14377.975308641975,0,1,1,0,1,0
grass-roots holistic migration,2022-08-26,2023-12-23,89917.95,0.67,email,b2b,promotion,0.24,736828.76,646910.81,2022,8,3,2023,12,4,Rendimiento medio,Rendimiento medio,374658.125,0,1,0,0,1,0
face-to-face background methodology,2022-11-26,2024-04-19,78099.81,0.94,webinar,b2c,organic,0.35,535075.58,456975.76999999996,2022,11,4,2024,4,2,Rendimiento medio,Rendimiento medio,223142.3142857143,0,1,0,0,1,0
visionary neutral attitude,2023-07-02,2024-07-25,35717.61,0.19,podcast,b2c,organic,0.1,146092.95,110375.34000000001,2023,7,3,2024,7,3,Bajo rendimiento,Bajo rendimiento,357176.1,0,0,0,0,1,0
grass-roots tertiary adapter,2023-02-21,2024-03-25,74243.84,0.9,webinar,b2b,promotion,0.95,562833.1,488589.26,2023,2,1,2024,3,1,Alto rendimiento,Alto rendimiento,78151.41052631578,0,1,1,0,1,0
function-based dynamic focus group,2022-12-17,2024-02-08,25475.7,0.1,webinar,b2c,paid,0.43,869402.93,843927.2300000001,2022,12,4,2024,2,1,Rendimiento medio,Rendimiento medio,59245.813953488374,0,0,0,1,1,0
multi-tiered stable installation,2023-03-23,2024-04-15,28552.53,0.1,webinar,b2c,paid,0.2,472180.81,443628.28,2023,3,1,2024,4,2,Bajo rendimiento,Bajo rendimiento,142762.65,0,0,0,1,1,0
proactive explicit migration,2023-07-06,2023-08-06,38420.97,0.96,social media,b2c,organic,0.58,833349.14,794928.17,2023,7,3,2023,8,3,Alto rendimiento,Alto rendimiento,66243.05172413794,0,1,1,0,0,0
reactive eco-centric synergy,2023-07-03,2024-04-23,39225.15,0.28,email,b2b,paid,0.84,127445.11,88219.95999999999,2023,7,3,2024,4,2,Rendimiento medio,Rendimiento medio,46696.607142857145,0,0,1,1,1,0
automated dedicated budgetary management,2023-08-01,2024-04-06,1436.99,0.14,podcast,b2b,organic,0.87,881768.44,880331.45,2023,8,3,2024,4,2,Rendimiento medio,Rendimiento medio,1651.712643678161,1,0,1,0,1,0
multi-channeled coherent moderator,2022-08-10,2024-03-18,11007.95,0.79,podcast,b2c,referral,0.81,680150.2,669142.25,2022,8,3,2024,3,1,Alto rendimiento,Alto rendimiento,13590.061728395061,0,1,1,0,1,0
synergized bottom-line paradigm,2022-12-06,2024-07-09,94432.87,0.63,social media,b2c,organic,0.2,524902.66,430469.79000000004,2022,12,4,2024,7,3,Rendimiento medio,Rendimiento medio,472164.35,0,1,0,0,1,0
phased attitude-oriented standardization,2023-07-03,2024-05-12,87100.53,0.53,podcast,b2b,referral,0.32,959625.18,872524.65,2023,7,3,2024,5,2,Rendimiento medio,Rendimiento medio,272189.15625,0,0,0,0,1,0
open-architected bottom-line algorithm,2022-11-11,2023-11-15,81473.25,0.96,webinar,b2c,paid,0.37,471361.8,389888.55,2022,11,4,2023,11,4,Rendimiento medio,Rendimiento medio,220197.972972973,0,1,0,1,1,0
open-source homogeneous product,2023-05-31,2023-09-30,89921.79,0.79,webinar,b2b,organic,0.51,423523.6,333601.81,2023,5,2,2023,9,3,Alto rendimiento,Alto rendimiento,176317.23529411762,0,1,1,0,0,0
reduced tertiary implementation,2022-08-10,2023-10-22,93538.7,0.83,email,b2b,organic,0.4,949355.73,855817.03,2022,8,3,2023,10,4,Rendimiento medio,Rendimiento medio,233846.74999999997,0,1,0,0,1,0
proactive incremental framework,2022-12-16,2024-05-21,96760.38,0.12,email,b2b,referral,0.33,353251.17,256490.78999999998,2022,12,4,2024,5,2,Rendimiento medio,Rendimiento medio,293213.2727272727,0,0,0,0,1,0
quality-focused hybrid policy,2023-01-28,2024-05-10,90020.46,0.55,social media,b2c,promotion,0.9,766391.61,676371.15,2023,1,1,2024,5,2,Rendimiento medio,Rendimiento medio,100022.73333333334,0,0,1,0,1,0
progressive 24hour utilization,2022-11-01,2024-03-14,14495.84,0.3,podcast,b2c,referral,0.56,105658.26,91162.42,2022,11,4,2024,3,1,Rendimiento medio,Rendimiento medio,25885.42857142857,0,0,1,0,1,0
organized coherent utilization,2022-09-12,2024-05-18,7889.64,0.52,email,b2c,referral,0.56,160161.3,152271.65999999997,2022,9,3,2024,5,2,Rendimiento medio,Rendimiento medio,14088.642857142857,1,0,1,0,1,0
versatile user-facing benchmark,2022-09-19,2024-05-21,53658.92,0.9,social media,b2b,promotion,0.0,761292.13,707633.21,2022,9,3,2024,5,2,Rendimiento medio,Rendimiento medio,inf,0,1,0,0,1,0
configurable client-driven migration,2022-12-09,2024-03-10,21172.32,0.16,social media,b2c,referral,0.32,972694.3,951521.9800000001,2022,12,4,2024,3,1,Rendimiento medio,Rendimiento medio,66163.5,0,0,0,0,1,0
public-key fresh-thinking intranet,2023-07-23,2024-04-01,88296.95,0.19,webinar,b2c,referral,0.13,928231.8,839934.8500000001,2023,7,3,2024,4,2,Bajo rendimiento,Bajo rendimiento,679207.3076923076,0,0,0,0,1,0
self-enabling bandwidth-monitored array,2022-09-15,2024-04-05,42970.96,0.84,webinar,b2c,referral,0.68,345521.31,302550.35,2022,9,3,2024,4,2,Alto rendimiento,Alto rendimiento,63192.58823529411,0,1,1,0,1,0
profound disintermediate analyzer,2022-12-16,2023-11-09,49418.2,0.4,social media,b2b,paid,0.83,917197.39,867779.1900000001,2022,12,4,2023,11,4,Rendimiento medio,Rendimiento medio,59540.0,0,0,1,1,1,0
multi-tiered multi-tasking support,2022-10-23,2023-12-08,3809.12,0.22,webinar,b2c,referral,0.2,573889.99,570080.87,2022,10,4,2023,12,4,Bajo rendimiento,Bajo rendimiento,19045.6,1,0,0,0,1,0
triple-buffered next generation moderator,2023-07-22,2024-02-17,96955.19,0.51,webinar,b2b,promotion,0.51,605117.55,508162.36000000004,2023,7,3,2024,2,1,Rendimiento medio,Rendimiento medio,190108.21568627452,0,0,1,0,1,0
synergistic needs-based framework,2022-10-21,2024-04-27,22787.98,0.41,webinar,b2c,organic,0.29,940147.71,917359.73,2022,10,4,2024,4,2,Rendimiento medio,Rendimiento medio,78579.24137931035,0,0,0,0,1,0
horizontal national alliance,2022-12-20,2023-11-10,59550.27,0.47,social media,b2c,referral,0.42,345405.0,285854.73,2022,12,4,2023,11,4,Rendimiento medio,Rendimiento medio,141786.35714285713,0,0,0,0,1,0
team-oriented mobile contingency,2023-03-29,2024-01-25,55219.7,0.97,podcast,b2b,promotion,0.64,643859.1,588639.4,2023,3,1,2024,1,1,Alto rendimiento,Alto rendimiento,86280.78125,0,1,1,0,1,0
persistent grid-enabled contingency,2022-10-14,2024-02-06,38978.72,0.1,podcast,b2c,organic,0.25,730692.49,691713.77,2022,10,4,2024,2,1,Rendimiento medio,Rendimiento medio,155914.88,0,0,0,0,1,0
reactive real-time array,2023-06-21,2024-04-13,77106.38,0.34,podcast,b2c,promotion,0.39,187751.15,110644.76999999999,2023,6,2,2024,4,2,Rendimiento medio,Rendimiento medio,197708.6666666667,0,0,0,0,1,0
programmable asynchronous encryption,2023-01-17,2023-12-22,16485.72,0.89,podcast,b2b,referral,0.41,9714.17,-6771.550000000001,2023,1,1,2023,12,4,Rendimiento medio,Rendimiento medio,40209.07317073171,0,1,0,0,1,0
object-based web-enabled intranet,2023-06-01,2023-08-11,32297.26,0.93,webinar,b2b,promotion,0.17,919995.28,887698.02,2023,6,2,2023,8,3,Rendimiento medio,Rendimiento medio,189983.88235294115,0,1,0,0,0,0
universal exuding artificial intelligence,2023-04-25,2024-07-24,80372.5,0.3,webinar,b2b,paid,0.3,260204.2,179831.7,2023,4,2,2024,7,3,Rendimiento medio,Rendimiento medio,267908.3333333334,0,0,0,1,1,0
cross-group bandwidth-monitored time-frame,2022-11-30,2024-03-18,51871.97,0.56,email,b2b,paid,0.55,389969.52,338097.55000000005,2022,11,4,2024,3,1,Rendimiento medio,Rendimiento medio,94312.67272727271,0,0,1,1,1,0
